id_produto,ds_produto,classificado,dt_criacao
1,"Costela de Boi",1,"2020-05-31 08:10:59"
2,Contra-Filé,1,"2020-05-31 08:10:59"
3,Picanha,1,"2020-05-31 08:10:59"
4,Musculo,1,"2020-05-31 08:10:59"
6,Bacon,1,"2020-05-31 08:10:59"
7,"Coração de Frango",1,"2020-05-31 08:10:59"
8,"Coxinha da Asa",1,"2020-05-31 08:10:59"
9,"Carne Defumada",1,"2020-05-31 08:10:59"
10,"Leite Desnatado",1,"2020-05-31 08:10:59"
11,"Leite Integral",1,"2020-05-31 08:10:59"
12,"Creme de Leite",1,"2020-05-31 08:10:59"
13,"Leite em Pó Integral",1,"2020-05-31 08:10:59"
14,"Leite Condensado",1,"2020-05-31 08:10:59"
15,Iogurte,1,"2020-05-31 08:10:59"
16,Manteiga,1,"2020-05-31 08:10:59"
17,"Queijo Mussarela",1,"2020-05-31 08:10:59"
18,Requeijão,1,"2020-05-31 08:10:59"
19,"Queijo Gorgonzola",1,"2020-05-31 08:10:59"
20,"Queijo Parmesão",1,"2020-05-31 08:10:59"
21,"Queijo Prato",1,"2020-05-31 08:10:59"
22,"Queijo Coalho",1,"2020-05-31 08:10:59"
23,Ovos,1,"2020-05-31 08:10:59"
24,Tomate,1,"2020-05-31 08:10:59"
25,Cebola,1,"2020-05-31 08:10:59"
26,Alho,1,"2020-05-31 08:10:59"
27,Cebolinha,1,"2020-05-31 08:10:59"
28,Coentro,1,"2020-05-31 08:10:59"
29,"Rolinho Primavera",1,"2020-05-31 08:10:59"
30,Feijão,1,"2020-05-31 08:10:59"
31,"Feijão Branco",1,"2020-05-31 08:10:59"
32,"Feijão Fradinho",1,"2020-05-31 08:10:59"
33,Coco,1,"2020-05-31 08:10:59"
34,"Castanha do Pará",1,"2020-05-31 08:10:59"
35,"Castanha de Caju",1,"2020-05-31 08:10:59"
36,"Banana da Terra",1,"2020-05-31 08:10:59"
37,"Banana da Prata",1,"2020-05-31 08:10:59"
38,Abacaxi,1,"2020-05-31 08:10:59"
39,Abacate,1,"2020-05-31 08:10:59"
40,Laranja,1,"2020-05-31 08:10:59"
41,Tangerina,1,"2020-05-31 08:10:59"
42,Limão,1,"2020-05-31 08:10:59"
43,Maracujá,1,"2020-05-31 08:10:59"
44,Maçã,1,"2020-05-31 08:10:59"
45,"Ameixa Seca",1,"2020-05-31 08:10:59"
46,"Café Torrado",1,"2020-05-31 08:10:59"
47,Pipoca,1,"2020-05-31 08:10:59"
48,"Arroz Integral",1,"2020-05-31 08:10:59"
