cd_ncm_prod_serv,ds_ncm_01,ds_ncm_02,ds_ncm_03,ds_ncm_04,ds_ncm_05,cd_ean_prod_serv,ds_prod_serv,cnpj,cd_prod_serv,estabelecimento
02012020,"Carnes e miudezas, comestíveis.","Carnes de animais da espécie bovina, frescas ou refrigeradas.","Outras peças não desossadas","Outras peças não desossadas","Quartos traseiros","SEM GTIN","COSTELA P A KG KG",39346861007840,111197002,"CENCOSUD BRASIL COMERCIAL LTDA"
02013000,"Carnes e miudezas, comestíveis.","Carnes de animais da espécie bovina, frescas ou refrigeradas.",Desossadas,Desossadas,Desossadas,"SEM GTIN","&CONTRA MATURATT RESF",00063960004864,00000202055,"WMB SUPERMERCADOS DO BRASIL LTDA."
02013000,"Carnes e miudezas, comestíveis.","Carnes de animais da espécie bovina, frescas ou refrigeradas.",Desossadas,Desossadas,Desossadas,"SEM GTIN",&PICANHAMATURATTACONG,00063960004864,00000455820,"WMB SUPERMERCADOS DO BRASIL LTDA."
02013000,"Carnes e miudezas, comestíveis.","Carnes de animais da espécie bovina, frescas ou refrigeradas.",Desossadas,Desossadas,Desossadas,"SEM GTIN","&CONTRA MATURATT RESF",00063960004864,00000202055,"WMB SUPERMERCADOS DO BRASIL LTDA."
02013000,"Carnes e miudezas, comestíveis.","Carnes de animais da espécie bovina, frescas ou refrigeradas.",Desossadas,Desossadas,Desossadas,"SEM GTIN","MUSC FB PED KG",39346861007840,119530902,"CENCOSUD BRASIL COMERCIAL LTDA"
02013000,"Carnes e miudezas, comestíveis.","Carnes de animais da espécie bovina, frescas ou refrigeradas.",Desossadas,Desossadas,Desossadas,"SEM GTIN","&PICANHA MATURATTA",00063960004864,00000643778,"WMB SUPERMERCADOS DO BRASIL LTDA."
02031900,"Carnes e miudezas, comestíveis.","Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas.","Frescas ou refrigeradas:",Outras,Outras,"SEM GTIN","BACON SUINO SEAR KG",39346861007840,145850702,"CENCOSUD BRASIL COMERCIAL LTDA"
02071300,"Carnes e miudezas, comestíveis.","Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.","De aves da espécie Gallus domesticus:","Pedaços e miudezas, frescos ou refrigerados","Pedaços e miudezas, frescos ou refrigerados","SEM GTIN","CORACAO ESSE RESF KG",39346861007840,113815802,"CENCOSUD BRASIL COMERCIAL LTDA"
02071400,"Carnes e miudezas, comestíveis.","Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.","De aves da espécie Gallus domesticus:","Pedaços e miudezas, congelados","Pedaços e miudezas, congelados",7893000488878,"&COXINHA DA ASA 1KG",00063960004864,00000652311,"WMB SUPERMERCADOS DO BRASIL LTDA."
02071400,"Carnes e miudezas, comestíveis.","Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.","De aves da espécie Gallus domesticus:","Pedaços e miudezas, congelados","Pedaços e miudezas, congelados",7893000488878,"&COXINHA DA ASA 1KG",00063960004864,00000652311,"WMB SUPERMERCADOS DO BRASIL LTDA."
02101900,"Carnes e miudezas, comestíveis.","Carnes e miudezas, comestíveis, salgadas ou em salmoura, secas ou defumadas (fumadas); farinhas e pós, comestíveis, de carnes ou de miudezas.","Carnes da espécie suína:",Outras,Outras,"SEM GTIN","CARNE DEF KG KG",39346861007840,119492802,"CENCOSUD BRASIL COMERCIAL LTDA"
04011010,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leite e creme de leite (nata*), não concentrados nem adicionados de açúcar ou de outros edulcorantes.","Com um teor, em peso, de matérias gordas, não superior a 1 %","Com um teor, em peso, de matérias gordas, não superior a 1 %","Leite UHT (Ultra High Temperature)",7898939247039,"LEITE LIQ LEITISSI UN",39346861007840,163415000,"CENCOSUD BRASIL COMERCIAL LTDA"
04011010,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leite e creme de leite (nata*), não concentrados nem adicionados de açúcar ou de outros edulcorantes.","Com um teor, em peso, de matérias gordas, não superior a 1 %","Com um teor, em peso, de matérias gordas, não superior a 1 %","Leite UHT (Ultra High Temperature)",7898215151722,"LEITE DESN 1L UN",39346861007840,125925400,"CENCOSUD BRASIL COMERCIAL LTDA"
04012010,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leite e creme de leite (nata*), não concentrados nem adicionados de açúcar ou de outros edulcorantes.","Com um teor, em peso, de matérias gordas, superior a 1 %, mas não superior a 6 %","Com um teor, em peso, de matérias gordas, superior a 1 %, mas não superior a 6 %","Leite UHT (Ultra High Temperature)",7898403782387,"LEIT BET INT VIT1L UN",39346861007840,164809300,"CENCOSUD BRASIL COMERCIAL LTDA"
04012010,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leite e creme de leite (nata*), não concentrados nem adicionados de açúcar ou de outros edulcorantes.","Com um teor, em peso, de matérias gordas, superior a 1 %, mas não superior a 6 %","Com um teor, em peso, de matérias gordas, superior a 1 %, mas não superior a 6 %","Leite UHT (Ultra High Temperature)",7898080640611,"&LTE UHT INT ITAL TP",00063960004864,00980006715,"WMB SUPERMERCADOS DO BRASIL LTDA."
